x,y,z
6,0,1
10,0,3
13,0,4
19,0,12
28,2,13
37,2,14
58,2,15
111,2,16
168,3,17
426,7,19
532,7,20
789,14,21
981,18,22
1082,27,23
1211,29,24
1403,34,25
1627,41,26
1823,48,27
1924,58,28
1966,62,29
2302,79,30
2758,98,31
3163,120,32
3368,145,33
3465,172,34
3646,180,35
3747,191,36
3995,220,37
4450,242,38
4965,272,39
7161,297,40
7257,315,41
7466,333,42
7529,355,43
7603,369,44
7858,388,45
8225,403,46
8450,421,47
9022,456,48
9468,474,49
10128,507,50
10398,520,51
10850,537,52
11183,560,53
22719,576,54
23240,663,57
24258,871,58
24675,883,59
24934,900,60
26336,1063,61
27464,1371,62
29538,1564,63
31881,1569,64


